x,y,CHM.S,Slope.S,DistRoad.S,Height,Orientation,BHG,YCASC,Rat
576444.3066,8848858.287,-1.464191331,-0.687517267,-0.91665346,B,Horizontal,1,1,1
576514.3066,8848858.287,-1.368944629,-0.785506076,-0.91665346,B,Horizontal,1,1,1
576584.3066,8848858.287,-1.377259303,-0.814800474,-0.91665346,B,Horizontal,1,1,1
576654.3066,8848858.287,-1.312404549,-0.880674431,-0.91665346,B,Horizontal,1,1,1
576724.3066,8848858.287,-1.31070825,-0.558368636,-0.91665346,B,Horizontal,1,1,1
576304.3066,8848788.287,-0.758870217,-0.508928208,-0.91665346,B,Horizontal,1,1,1
576374.3066,8848788.287,0,-0.25046471,-0.91665346,B,Horizontal,1,1,1
576444.3066,8848788.287,-1.069472422,0.17307512,0,B,Horizontal,1,1,1
576514.3066,8848788.287,-0.915662114,0.284556538,0,B,Horizontal,1,1,1
576584.3066,8848788.287,-1.243533801,0.044636206,0,B,Horizontal,1,1,1
576654.3066,8848788.287,0,-0.360377721,0,B,Horizontal,1,1,1
576724.3066,8848788.287,-1.254792496,-0.408616224,0,B,Horizontal,1,1,1
576794.3066,8848788.287,-1.289671611,-0.501730686,-0.91665346,B,Horizontal,1,1,1
576864.3066,8848788.287,-1.368957089,-0.820116683,-0.91665346,B,Horizontal,1,1,1
573924.3066,8848718.287,-1.487908553,-0.74220664,-0.82305302,B,Horizontal,1,1,1
573994.3066,8848718.287,-1.297555097,-0.787052268,-0.91665346,B,Horizontal,1,1,1
576094.3066,8848718.287,-1.335679889,-0.207972037,-0.91665346,B,Horizontal,1,1,1
576164.3066,8848718.287,-0.948689081,-0.162264073,0,B,Horizontal,1,1,1
576234.3066,8848718.287,0,0.179009263,0,B,Horizontal,1,1,1
576304.3066,8848718.287,-0.779559077,0.757733329,0,B,Horizontal,1,1,1
576374.3066,8848718.287,-1.213296307,1.486243198,0,B,Horizontal,1,1,1
576444.3066,8848718.287,-0.90757768,1.779308705,0,B,Horizontal,1,1,1
576514.3066,8848718.287,-0.975387985,1.566151097,-0.91665346,B,Horizontal,1,1,1
576584.3066,8848718.287,-1.241218383,1.263489444,-0.91665346,B,Horizontal,1,1,1
576654.3066,8848718.287,-1.025219677,1.118032099,-0.91665346,B,Horizontal,1,1,1
576724.3066,8848718.287,-1.105989254,0.556652678,0,B,Horizontal,1,1,1
576794.3066,8848718.287,-1.112397475,-0.364105612,0,B,Horizontal,1,1,1
576864.3066,8848718.287,-1.364232894,-0.823380084,0,B,Horizontal,1,1,1
576934.3066,8848718.287,-1.409174219,-0.84883082,-0.91665346,B,Horizontal,1,1,1
573854.3066,8848648.287,-1.512859456,-0.78883344,-0.690682015,B,Horizontal,1,1,1
573924.3066,8848648.287,0,-0.719607858,-0.91665346,B,Horizontal,1,1,1
573994.3066,8848648.287,-1.52837852,-0.675564281,0,B,Horizontal,1,1,1
574064.3066,8848648.287,0,-0.863463112,0,B,Horizontal,1,1,1
574134.3066,8848648.287,0,-0.54403233,0,B,Horizontal,1,1,1
575884.3066,8848648.287,-0.970800855,0.129362467,-0.91665346,B,Horizontal,1,1,1
575954.3066,8848648.287,-0.762842506,0.323993142,0,B,Horizontal,1,1,1
576024.3066,8848648.287,-0.788764955,0.693335222,0,B,Horizontal,1,1,1
576094.3066,8848648.287,-0.810194377,1.246317845,0,B,Horizontal,1,1,1
576164.3066,8848648.287,-0.884193636,1.665022943,0,B,Horizontal,1,1,1
576234.3066,8848648.287,-0.891622686,1.744399328,-0.91665346,B,Horizontal,1,1,1
576304.3066,8848648.287,-0.765774811,1.914923544,-0.91665346,B,Horizontal,1,1,1
576374.3066,8848648.287,-1.363060307,1.911128939,-0.91665346,B,Horizontal,1,1,1
576444.3066,8848648.287,-0.889332933,1.546807771,-0.91665346,B,Horizontal,1,1,1
576514.3066,8848648.287,-1.312748235,1.415442296,-0.82305302,B,Horizontal,1,1,1
576584.3066,8848648.287,-0.929640169,1.478633354,-0.690682015,B,Horizontal,1,1,1
576654.3066,8848648.287,-1.476367359,1.578564378,-0.82305302,B,Horizontal,1,1,1
576724.3066,8848648.287,-1.373213924,1.552574647,-0.91665346,B,Horizontal,1,1,1
576794.3066,8848648.287,-1.172489908,0.252128249,-0.91665346,B,Horizontal,1,1,1
576864.3066,8848648.287,-1.109624739,-0.697141404,0,B,Horizontal,1,1,1
576934.3066,8848648.287,-1.479530461,-0.884078275,-0.91665346,B,Horizontal,1,1,1
573854.3066,8848578.287,-1.395270369,-0.653168806,-0.82305302,B,Horizontal,1,1,1
573924.3066,8848578.287,-1.523210582,-0.214696298,-0.91665346,B,Horizontal,1,1,1
573994.3066,8848578.287,-1.066061784,0.074535057,0,B,Horizontal,1,1,1
574064.3066,8848578.287,-0.704334414,0.073900238,0,B,Horizontal,1,1,1
574134.3066,8848578.287,0,-0.054961314,0,B,Horizontal,1,1,1
